;F-stat;p_values
124;210.4984343288122;0.0
125;286.3073677759644;0.0
126;850.7169359988018;0.0
127;595.8904903015834;0.0
128;190.38583507008406;0.0
129;401.10073678366626;0.0
130;417.4118045853629;0.0
131;213.8498426761925;0.0
132;176.85809582858806;0.0
133;611.7502294226504;0.0
134;317.83504521444644;0.0
135;207.27314318028377;0.0
136;324.1798767376686;0.0
137;551.2673214550299;0.0
138;413.09031607642896;0.0
139;423.1735571330319;0.0
140;170.29235138816034;0.0
141;385.70898914887107;0.0
142;358.72526150967707;0.0
143;345.37470174394326;0.0
144;185.72309065222717;0.0
145;168.84533539341396;0.0
146;728.0805578134515;0.0
147;132.1678485604446;0.0
148;328.9371227672821;0.0
149;422.4113405043773;0.0
150;371.27812643682296;0.0
151;354.5121610679735;0.0
152;238.4587731858312;0.0
153;161.7079519375865;0.0
154;181.67104814187007;0.0
155;383.96106533874365;0.0
156;226.5117006355065;0.0
157;165.14336113294672;0.0
158;496.6737229590303;0.0
159;176.04035623118762;0.0
160;355.889655373988;0.0
161;420.8183357106844;0.0
162;99.212737450568;0.0
163;299.40159399082245;0.0
164;791.0099698017312;0.0
165;128.8502237732693;0.0
166;303.6348352819195;0.0
167;238.08221558205315;0.0
168;267.2228458372256;0.0
169;423.8242841666119;0.0
170;302.3847734754225;0.0
171;799.6592175114754;0.0
172;651.4106957964248;0.0
173;565.2863665586726;0.0
174;317.79920698790954;0.0
175;217.6518856167941;0.0
176;405.7648740870341;0.0
177;209.19262660509702;0.0
178;419.34395310192286;0.0
179;218.88543997910185;0.0
180;220.57545972965912;0.0
181;486.4834834848406;0.0
182;150.4858278825858;0.0
183;204.3917620713796;0.0
184;164.7116546126666;0.0
185;235.3289796750246;0.0
186;91.98963794208626;0.0
187;175.0346668636286;0.0
188;376.02544285225775;0.0
189;309.5615431359999;0.0
190;488.11402242195993;0.0
191;185.6479571792061;0.0
192;177.90915705200229;0.0
193;213.7070096640135;0.0
194;852.7323052087356;0.0
195;547.2858873111563;0.0
196;473.52261804637413;0.0
197;193.78200810316747;0.0
198;135.1977697798286;0.0
199;732.6165064412162;0.0
200;293.5136092957672;0.0
201;373.7838767473853;0.0
202;288.58422859134714;0.0
203;448.12089207294787;0.0
204;323.01832617205855;0.0
205;161.62444394982464;0.0
206;309.4879695732864;0.0
207;469.14759231795523;0.0
208;182.44045368533367;0.0
209;986.6210960774727;0.0
210;150.78559657057187;0.0
211;251.5447289903059;0.0
212;234.12931648864637;0.0
213;195.10561651574181;0.0
